N,eps_sol,eps_bssg,eps_solsol,dfe,dfe_min,tds,seq
10,-0.2,-2,0,-2.021634,-2.021634,-3.691513,1000000000
5,-0.2,-2,0,-1.586701,-1.586701,-3.036811,10000
15,-0.2,-2,0,-1.923791,-1.923791,-3.339839,1E+14
5,-0.2,-1,0,-2.113683,-2.113683,-3.05465,10000
10,-0.2,-1,0,-2.260858,-2.260858,-3.449401,1000000000
15,-0.2,-1,0,-2.056621,-2.056621,-3.330417,1E+14
15,-0.2,0,0,-2.121085,-2.121085,-3.536061,1E+14
5,-0.2,0,0,-2.333744,-2.333744,-3.214815,10000
10,-0.2,0,0,-1.997264,-1.997264,-3.114295,1000000000
5,-0.2,0.5,0,-2.411587,-2.411587,-3.099879,10000
10,-0.2,0.5,0,-2.203216,-2.203216,-3.570342,1000000000
15,-0.2,0.5,0,-2.096166,-2.096166,-3.890043,1E+14
15,-0.2,1,0,-2.112358,-2.112358,-3.40442,1E+14
5,-0.2,1,0,-2.472403,-2.472403,-2.961671,10000
10,-0.2,1,0,-2.095964,-2.095964,-3.336387,1000000000
15,-0.1,-6,0,0.588201,-0.224755,2.389488,1E+14
5,-0.1,-6,0,3.089976,-0.227967,-0.404938,10000
10,-0.1,-6,0,2.478317,-0.487717,0.383091,1000000000
15,-0.1,-5,0,-0.968687,-0.968687,-0.053573,1E+14
10,-0.1,-5,0,0.382015,-0.216419,1.380805,1000000000
5,-0.1,-5,0,2.008986,-0.20871,1.321464,10000
15,-0.1,-4,0,-1.368144,-1.368144,-2.010511,1E+14
10,-0.1,-4,0,-0.947659,-0.947659,-1.11506,1000000000
5,-0.1,-4,0,1.033839,-0.221389,-1.036999,10000
10,-0.1,-3,0,-1.762321,-1.762321,-2.382019,1000000000
5,-0.1,-3,0,-0.620372,-0.620372,-1.487786,10000
15,-0.1,-3,0,-1.862651,-1.862651,-3.731276,1E+14
10,-0.1,-2,0,-2.24415,-2.24415,-2.952607,1000000000
5,-0.1,-2,0,-1.664709,-1.664709,-2.412657,10000
15,-0.1,-2,0,-2.008451,-2.008451,-3.26872,1E+14
5,-0.1,-1,0,-2.364562,-2.364562,-2.833137,10000
10,-0.1,-1,0,-2.42176,-2.42176,-3.261393,1000000000
15,-0.1,-1,0,-2.284789,-2.284789,-3.101762,1E+14
10,-0.1,0,0,-2.406315,-2.406315,-3.319509,1000000000
5,-0.1,0,0,-2.638285,-2.638285,-3.026862,10000
15,-0.1,0,0,-2.288952,-2.288952,-3.143564,1E+14
15,-0.1,0.5,0,-2.272629,-2.272629,-3.062609,1E+14
10,-0.1,0.5,0,-2.5849,-2.5849,-3.201848,1000000000
5,-0.1,0.5,0,-2.715438,-2.715438,-3.003821,10000
10,-0.1,1,0,-2.443005,-2.443005,-3.225582,1000000000
5,-0.1,1,0,-2.728081,-2.728081,-3.019592,10000
15,-0.1,1,0,-2.332823,-2.332823,-3.490601,1E+14
5,0,-6,0,2.649482,-0.23036,-2.014702,10000
10,0,-6,0,3.155755,-0.205736,0.924939,1000000000
15,0,-6,0,0.600873,-0.20386,4.118507,1E+14
10,0,-5,0,0.549807,-0.21302,2.700043,1000000000
5,0,-5,0,2.274922,-0.223648,-0.459771,10000
15,0,-5,0,-0.084215,-0.207517,1.451786,1E+14
10,0,-4,0,-0.832272,-0.832272,-0.146644,1000000000
5,0,-4,0,0.730175,-0.219884,0.030391,10000
15,0,-4,0,-1.300288,-1.300288,-0.971792,1E+14
15,0,-3,0,-2.002696,-2.002696,-1.82861,1E+14
5,0,-3,0,-0.580569,-0.580569,-1.013196,10000
10,0,-3,0,-1.98,-1.98,-1.910846,1000000000
15,0,-2,0,-2.420506,-2.420506,-3.122606,1E+14
5,0,-2,0,-1.885117,-1.885117,-1.948799,10000
10,0,-2,0,-2.472784,-2.472784,-2.607159,1000000000
15,0,-1,0,-2.621059,-2.621059,-3.061426,1E+14
10,0,-1,0,-2.640794,-2.640794,-2.861174,1000000000
5,0,-1,0,-2.609821,-2.609821,-2.801762,10000
10,0,0,0,-2.709869,-2.709869,-3.165518,1000000000
5,0,0,0,-2.965787,-2.965787,-3.079021,10000
15,0,0,0,-2.67956,-2.67956,-3.096533,1E+14
10,0,0.5,0,-2.827215,-2.827215,-2.897753,1000000000
15,0,0.5,0,-2.604369,-2.604369,-3.045937,1E+14
5,0,0.5,0,-3.086005,-3.086005,-3.078348,10000
10,0,1,0,-2.785261,-2.785261,-3.151851,1000000000
5,0,1,0,-3.218783,-3.218783,-2.885891,10000
15,0,1,0,-2.694635,-2.694635,-3.480705,1E+14
5,0.1,-6,0,2.508418,-0.219519,-1.632162,10000
10,0.1,-6,0,2.594653,-0.215664,0.184413,1000000000
15,0.1,-6,0,2.35868,-0.230182,0.646684,1E+14
10,0.1,-5,0,0.926408,-0.217786,3.272541,1000000000
5,0.1,-5,0,1.856246,-0.221899,-0.531554,10000
15,0.1,-5,0,-0.045479,-0.205301,1.702476,1E+14
10,0.1,-4,0,-0.663586,-0.663586,1.003009,1000000000
5,0.1,-4,0,0.405246,-0.221612,0.248208,10000
15,0.1,-4,0,-1.282738,-1.282738,0.83897,1E+14
15,0.1,-3,0,-2.36871,-2.36871,-1.321068,1E+14
5,0.1,-3,0,-0.922507,-0.922507,-0.749954,10000
10,0.1,-3,0,-2.064322,-2.064322,-1.065688,1000000000
15,0.1,-2,0,-2.954067,-2.954067,-2.418461,1E+14
5,0.1,-2,0,-2.244178,-2.244178,-2.051656,10000
10,0.1,-2,0,-2.787844,-2.787844,-2.209649,1000000000
15,0.1,-1,0,-3.102195,-3.102195,-3.275556,1E+14
10,0.1,-1,0,-3.10035,-3.10035,-2.967355,1000000000
5,0.1,-1,0,-3.131717,-3.131717,-2.754178,10000
15,0.1,0,0,-3.107168,-3.107168,-3.756346,1E+14
5,0.1,0,0,-3.494913,-3.494913,-3.090866,10000
10,0.1,0,0,-3.25251,-3.25251,-3.425108,1000000000
5,0.1,0.5,0,-3.565058,-3.565058,-3.047124,10000
15,0.1,0.5,0,-3.15052,-3.15052,-3.567443,1E+14
10,0.1,0.5,0,-3.376385,-3.376385,-3.037956,1000000000
15,0.1,1,0,-3.187862,-3.187862,-3.328013,1E+14
5,0.1,1,0,-3.585998,-3.585998,-2.931496,10000
10,0.1,1,0,-3.368561,-3.368561,-3.709666,1000000000
5,0.2,-6,0,2.072584,-0.203117,-2.5452,10000
10,0.2,-6,0,1.564828,-0.22975,3.225815,1000000000
15,0.2,-6,0,1.947492,-0.730011,-1.674516,1E+14
10,0.2,-5,0,0.964783,-0.222852,1.350138,1000000000
5,0.2,-5,0,1.243617,-0.209204,-0.559934,10000
15,0.2,-5,0,0.066234,-0.220803,2.270147,1E+14
10,0.2,-4,0,-0.722135,-0.722135,1.105905,1000000000
5,0.2,-4,0,0.144331,-0.224304,-0.332784,10000
15,0.2,-4,0,-1.311037,-1.311037,2.26849,1E+14
15,0.2,-3,0,-2.334461,-2.334461,-1.271899,1E+14
5,0.2,-3,0,-1.181942,-1.181942,-0.69205,10000
